loss,mae,rmse,val_loss,val_mae,val_rmse
153.5836944580078,154.0836944580078,193.2009735107422,141.41746520996094,141.91746520996094,179.03172302246094
150.29037475585938,150.79037475585938,190.32424926757812,139.66139221191406,140.16127014160156,177.57846069335938
143.26776123046875,143.76722717285156,184.7393341064453,134.96536254882812,135.4639434814453,173.93252563476562
130.57534790039062,131.07421875,173.50938415527344,125.71366119384766,126.21363830566406,165.51046752929688
109.24392700195312,109.74266052246094,150.7400665283203,108.42172241210938,108.92120361328125,145.98651123046875
80.31509399414062,80.81318664550781,113.8139877319336,83.55718231201172,84.05268859863281,110.57315063476562
47.715576171875,48.2103271484375,68.83627319335938,59.29717254638672,59.79479217529297,72.16867065429688
36.64470291137695,37.14059829711914,57.47748565673828,54.290863037109375,54.79072570800781,66.1744613647461
32.91251754760742,33.410125732421875,52.004798889160156,47.330692291259766,47.825355529785156,58.61696243286133
31.23650550842285,31.73069953918457,53.50069046020508,39.878265380859375,40.37499237060547,50.79387664794922
28.142539978027344,28.637666702270508,49.41061019897461,31.983238220214844,32.48199462890625,41.9933967590332
25.830039978027344,26.322797775268555,47.573177337646484,29.06875228881836,29.566787719726562,38.65965270996094
26.195056915283203,26.688312530517578,47.88007736206055,26.463672637939453,26.960020065307617,36.9980583190918
25.883787155151367,26.379634857177734,47.404998779296875,21.379114151000977,21.875593185424805,31.169025421142578
24.404741287231445,24.897397994995117,44.908836364746094,17.409208297729492,17.898969650268555,28.426143646240234
22.25867462158203,22.750503540039062,42.63783264160156,17.845552444458008,18.339632034301758,29.219999313354492
24.471336364746094,24.96506118774414,45.22119903564453,15.130955696105957,15.614633560180664,27.346694946289062
24.227243423461914,24.718414306640625,45.37259292602539,12.679339408874512,13.171144485473633,25.869848251342773
25.040348052978516,25.533599853515625,45.767723083496094,15.662554740905762,16.14513397216797,27.696996688842773
25.05409049987793,25.54823112487793,46.592105865478516,12.430798530578613,12.922378540039062,25.564353942871094
28.669532775878906,29.162607192993164,51.16037368774414,11.270651817321777,11.751991271972656,25.605186462402344
25.37787437438965,25.872604370117188,46.7366943359375,11.416921615600586,11.902608871459961,25.871301651000977
23.2436580657959,23.736391067504883,44.39377212524414,11.263632774353027,11.752301216125488,25.354597091674805
26.98720359802246,27.47976303100586,50.360252380371094,11.413212776184082,11.9000883102417,25.94025230407715
24.33877944946289,24.829721450805664,45.50340270996094,12.045166969299316,12.530952453613281,25.390588760375977
23.407108306884766,23.90024185180664,45.82102966308594,10.724902153015137,11.204753875732422,25.378509521484375
27.001501083374023,27.492233276367188,50.8758430480957,10.688238143920898,11.172219276428223,26.97368812561035
24.91913414001465,25.411327362060547,48.594459533691406,10.858366966247559,11.34773063659668,26.150808334350586
27.03106117248535,27.522586822509766,49.0700798034668,11.744291305541992,12.23158073425293,25.554729461669922
24.255535125732422,24.747940063476562,45.71352005004883,11.382701873779297,11.865509986877441,28.228233337402344
26.780841827392578,27.274370193481445,48.043766021728516,10.042163848876953,10.52685260772705,25.439023971557617
25.901323318481445,26.396316528320312,48.351646423339844,11.351640701293945,11.830883026123047,27.6649169921875
25.779645919799805,26.271419525146484,46.24288558959961,10.269702911376953,10.756377220153809,25.105043411254883
25.62905502319336,26.12126922607422,48.652305603027344,10.967620849609375,11.451241493225098,26.93970489501953
24.472728729248047,24.965679168701172,46.310455322265625,10.75313663482666,11.242301940917969,24.888137817382812
23.597394943237305,24.08738899230957,45.136138916015625,10.105640411376953,10.578341484069824,26.19510269165039
22.141305923461914,22.634654998779297,42.94937515258789,10.256926536560059,10.737394332885742,25.40107536315918
23.89252471923828,24.385894775390625,44.04097366333008,9.8289155960083,10.306683540344238,25.591455459594727
22.00515365600586,22.499706268310547,42.37986755371094,10.397092819213867,10.876444816589355,24.866851806640625
24.345687866210938,24.836463928222656,47.16569519042969,11.063544273376465,11.542719841003418,25.1783390045166
20.54117202758789,21.036033630371094,41.70610046386719,10.238382339477539,10.715544700622559,26.27749252319336
22.217039108276367,22.70789909362793,44.55643081665039,9.848928451538086,10.333904266357422,25.90713882446289
25.07465934753418,25.569307327270508,45.96546173095703,9.996511459350586,10.47201156616211,25.16911506652832
26.817026138305664,27.311634063720703,49.40132522583008,10.245623588562012,10.733358383178711,25.52306365966797
22.077491760253906,22.570772171020508,42.00587463378906,10.42062759399414,10.902141571044922,25.217775344848633
22.738792419433594,23.232833862304688,44.59181213378906,11.045899391174316,11.517916679382324,28.099843978881836
23.491893768310547,23.985822677612305,44.19062042236328,10.306842803955078,10.774679183959961,26.219070434570312
21.721031188964844,22.21469497680664,42.518062591552734,10.342897415161133,10.818818092346191,26.376434326171875
22.9833927154541,23.475679397583008,46.213340759277344,10.470155715942383,10.956226348876953,25.42670440673828
24.352924346923828,24.846065521240234,45.799129486083984,10.159929275512695,10.645929336547852,26.150400161743164
24.251718521118164,24.74126625061035,45.80842590332031,10.072601318359375,10.558773040771484,26.032636642456055
24.12207794189453,24.61493492126465,46.24543762207031,9.911333084106445,10.382936477661133,25.359769821166992
24.128480911254883,24.62087631225586,45.00666427612305,10.22923755645752,10.715096473693848,25.957372665405273
